slot_id,entry_hour,exit_hour,day_of_week,is_weekend,date,is_festival,occupied
39,12,14,4,0,2026-04-03,0,1
29,16,17,6,1,2026-04-04,0,1
15,22,23,3,0,2026-04-02,0,1
52,18,21,6,1,2026-10-31,1,1   # Diwali
12,9,11,0,0,2026-12-25,1,1    # Christmas
45,7,9,2,0,2026-03-25,1,1     # Holi
33,10,12,5,0,2026-04-05,0,0   # Normal day, available
21,14,16,6,1,2026-01-14,1,1   # Sankranti
18,8,10,1,0,2026-04-06,0,0
27,15,17,2,0,2026-04-07,0,1
41,19,21,5,0,2026-04-08,0,0
55,20,22,6,1,2026-04-09,0,1
62,11,13,0,0,2026-04-10,0,0
73,13,15,4,0,2026-04-11,0,1
84,17,19,6,1,2026-04-12,0,0
95,21,23,6,1,2026-04-13,0,1
