slot_id,entry_hour,exit_hour,day_of_week,is_weekend,occupied
52,5,7,4,0,0
93,5,8,6,1,0
15,20,23,2,0,1
72,8,12,3,0,1
61,3,7,0,0,0
21,11,12,0,0,0
83,11,12,4,0,0
87,22,23,5,1,0
75,16,20,6,1,1
75,14,15,3,0,0
88,8,9,3,0,1
100,6,10,2,0,0
24,9,11,5,1,1
3,15,19,0,0,0
22,11,13,2,0,0
53,6,10,1,0,0
2,17,18,3,0,0
88,14,17,0,0,1
30,5,8,2,0,0
38,11,13,4,0,0
2,10,12,1,0,1
64,19,21,2,0,1
60,2,5,4,0,0
21,1,3,0,0,0
33,5,9,0,0,0
76,23,3,1,0,0
58,21,0,4,0,0
22,4,8,3,0,0
89,17,19,6,1,0
49,15,18,6,1,1
91,7,9,0,0,0
59,19,23,5,1,0
42,21,23,3,0,0
92,10,13,3,0,1
60,9,11,6,1,1
80,23,3,2,0,0
15,11,12,2,0,0
62,20,23,0,0,1
62,5,7,3,0,0
47,19,22,2,0,0
62,4,6,4,0,0
51,22,23,4,0,0
55,8,12,4,0,1
64,15,17,4,0,0
3,21,23,3,0,0
51,13,14,4,0,0
7,21,0,3,0,0
21,7,11,6,1,1
73,19,21,0,0,0
39,18,20,0,0,1
18,13,17,4,0,1
4,6,7,4,0,0
89,4,7,4,0,0
60,17,21,0,0,1
14,1,4,2,0,0
9,10,11,0,0,0
90,21,22,4,0,0
53,7,11,2,0,1
2,0,2,2,0,0
84,21,22,1,0,0
92,11,12,6,1,0
60,1,5,3,0,0
71,17,21,6,1,0
44,6,10,4,0,0
8,16,17,3,0,1
47,21,0,1,0,0
35,22,23,3,0,1
78,13,17,4,0,1
81,23,1,1,0,0
36,6,8,3,0,0
50,21,1,0,0,0
4,2,4,2,0,0
2,5,6,6,1,0
6,19,22,1,0,0
54,1,2,0,0,0
4,16,20,4,0,0
54,11,12,2,0,0
93,11,13,6,1,1
63,16,17,1,0,0
18,9,12,2,0,1
90,2,4,5,1,0
44,19,22,5,1,0
34,17,20,1,0,1
74,12,15,1,0,0
62,11,12,3,0,1
100,16,17,2,0,0
14,3,4,5,1,0
95,22,23,6,1,1
48,9,11,5,1,0
15,10,11,2,0,0
72,5,7,5,1,0
78,5,8,6,1,1
87,8,10,0,0,1
62,14,18,5,1,1
40,1,2,5,1,0
85,3,7,4,0,0
80,4,6,0,0,0
82,16,17,3,0,0
53,7,11,1,0,0
24,7,8,6,1,1
26,21,23,5,1,0
89,11,15,6,1,1
60,20,22,3,0,1
41,7,11,3,0,0
29,18,21,0,0,0
15,2,5,6,1,0
45,17,20,1,0,1
65,20,23,4,0,0
89,18,21,3,0,0
71,18,20,4,0,1
9,14,17,1,0,0
88,5,7,1,0,0
1,15,18,0,0,0
8,7,8,6,1,0
88,15,18,2,0,0
63,17,18,6,1,1
11,19,21,5,1,0
81,15,18,0,0,1
8,10,14,6,1,0
35,6,8,4,0,0
35,16,19,6,1,1
33,16,18,0,0,0
5,11,15,1,0,0
41,12,15,3,0,0
28,9,13,5,1,1
7,6,9,5,1,0
73,13,14,2,0,1
72,22,0,1,0,0
12,0,4,5,1,0
34,16,18,5,1,0
33,3,7,3,0,0
48,20,22,4,0,0
23,4,6,4,0,0
62,19,21,4,0,0
88,23,0,0,0,0
37,22,1,4,0,0
99,6,7,4,0,1
44,9,11,0,0,1
86,16,20,3,0,1
91,6,8,1,0,0
35,0,3,5,1,0
65,6,7,2,0,0
99,23,2,5,1,0
47,10,14,4,0,0
78,8,11,4,0,0
3,11,12,6,1,1
1,2,6,5,1,0
5,3,6,5,1,0
90,3,4,6,1,1
14,12,13,4,0,0
27,22,0,0,0,0
9,18,21,0,0,1
79,9,13,0,0,0
15,4,6,2,0,0
90,6,9,1,0,1
42,23,2,4,0,0
77,15,19,3,0,0
51,0,2,5,1,0
63,11,13,5,1,1
96,1,5,4,0,0
52,6,8,4,0,0
96,10,11,4,0,1
4,12,16,5,1,0
94,1,4,6,1,1
23,6,10,4,0,0
15,14,15,5,1,1
43,10,14,1,0,0
29,1,4,3,0,1
36,6,9,0,0,0
13,3,7,6,1,0
32,10,14,3,0,1
71,1,2,4,0,0
59,15,16,3,0,0
86,6,9,4,0,0
28,12,14,3,0,0
66,4,6,2,0,0
42,16,18,3,0,1
45,20,22,0,0,1
62,11,14,0,0,0
57,18,20,6,1,1
6,6,8,3,0,0
28,5,9,5,1,0
28,7,9,5,1,0
44,12,16,5,1,0
84,4,7,3,0,0
30,1,5,5,1,0
62,8,9,1,0,1
75,10,14,3,0,1
92,23,1,0,0,0
89,5,9,6,1,0
62,6,10,5,1,1
97,6,9,2,0,0
1,18,21,5,1,1
27,5,7,0,0,0
62,10,11,1,0,1
77,10,11,3,0,1
3,6,10,5,1,1
70,1,2,2,0,0
72,18,21,6,1,1
27,3,5,0,0,0
9,5,7,6,1,1
62,16,19,6,1,0
37,4,6,2,0,0
97,6,10,4,0,0
51,8,10,0,0,1
44,0,1,4,0,0
24,0,2,2,0,0
79,18,20,3,0,1
59,5,8,3,0,0
32,17,20,3,0,1
96,9,10,6,1,0
88,10,13,4,0,0
52,0,1,6,1,0
62,0,4,3,0,0
58,12,13,6,1,1
52,4,6,1,0,0
12,19,20,0,0,0
39,0,4,0,0,0
2,19,21,6,1,1
3,2,3,2,0,0
56,17,20,5,1,1
81,8,11,4,0,1
59,13,16,0,0,1
2,16,17,6,1,1
2,22,23,4,0,0
92,13,17,2,0,1
54,3,5,3,0,0
87,4,6,5,1,1
96,20,22,2,0,0
97,16,18,1,0,0
1,21,22,3,0,0
19,1,2,3,0,0
2,22,2,3,0,0
53,21,23,2,0,0
44,4,5,1,0,0
90,3,4,5,1,1
32,3,4,4,0,0
70,5,6,2,0,0
32,19,21,0,0,1
68,20,22,0,0,0
55,12,13,2,0,0
75,21,0,4,0,0
56,4,8,0,0,0
17,22,0,4,0,0
38,22,0,3,0,0
24,6,9,2,0,1
69,19,21,3,0,0
98,0,3,0,0,0
70,13,16,4,0,1
86,23,0,3,0,0
11,3,5,0,0,0
16,16,20,6,1,1
97,20,23,1,0,1
73,13,17,3,0,1
59,15,16,1,0,0
70,13,15,1,0,0
80,15,16,5,1,0
93,23,0,0,0,0
3,19,23,2,0,1
20,7,11,4,0,0
59,23,2,6,1,1
36,2,4,0,0,0
19,18,19,5,1,0
90,0,3,5,1,0
67,1,4,6,1,1
19,14,15,3,0,1
20,21,22,4,0,0
96,9,12,5,1,1
71,17,18,2,0,0
52,21,22,0,0,1
33,13,17,2,0,1
40,16,18,3,0,0
39,12,15,0,0,0
82,0,1,3,0,0
1,4,7,4,0,0
11,12,14,4,0,0
92,13,16,2,0,0
57,23,2,2,0,0
89,2,5,4,0,0
50,14,18,1,0,1
23,18,20,4,0,1
31,16,18,6,1,0
94,2,5,0,0,0
42,15,18,6,1,1
99,13,15,3,0,1
7,11,12,4,0,0
16,11,15,4,0,1
90,10,12,5,1,1
60,16,19,3,0,0
2,7,8,5,1,0
1,16,17,3,0,1
48,20,21,6,1,1
12,22,2,0,0,0
69,19,23,3,0,0
37,10,12,2,0,0
32,1,3,4,0,0
9,9,11,3,0,0
99,9,11,0,0,1
19,10,13,3,0,0
48,5,9,4,0,0
80,3,4,1,0,0
3,23,2,3,0,0
20,11,13,2,0,0
24,10,12,4,0,0
54,22,1,0,0,0
33,22,23,6,1,0
24,12,16,6,1,1
75,4,8,4,0,0
72,5,6,5,1,1
36,0,4,1,0,0
38,5,7,0,0,0
84,17,19,1,0,0
99,21,23,6,1,1
89,8,10,1,0,0
99,23,0,2,0,0
25,14,18,6,1,1
93,7,11,3,0,0
18,18,21,2,0,0
82,23,0,2,0,0
66,15,19,5,1,1
54,5,9,2,0,0
35,5,8,0,0,0
80,21,23,3,0,0
61,2,6,3,0,0
41,9,11,6,1,1
100,0,3,0,0,0
33,13,17,2,0,0
68,3,5,2,0,0
33,11,12,1,0,0
14,5,7,6,1,0
21,10,12,6,1,0
48,11,13,1,0,0
20,9,11,5,1,1
8,17,18,4,0,0
7,6,9,1,0,0
67,6,8,3,0,1
17,10,12,0,0,0
33,3,7,2,0,0
48,19,23,4,0,0
76,0,1,1,0,0
59,12,13,6,1,1
86,17,18,4,0,1
22,8,12,0,0,0
30,23,1,0,0,0
38,23,3,6,1,1
51,8,11,4,0,1
54,22,23,4,0,0
8,8,9,5,1,1
27,9,10,4,0,1
27,1,4,2,0,0
98,5,7,3,0,0
21,14,16,1,0,0
30,2,4,6,1,0
97,10,11,1,0,1
28,5,7,1,0,0
64,2,6,4,0,0
97,23,0,6,1,0
69,10,13,4,0,1
61,14,17,5,1,0
48,12,14,4,0,0
19,19,20,5,1,1
4,9,13,5,1,1
35,5,9,2,0,0
64,14,15,2,0,1
49,17,19,2,0,0
17,17,20,2,0,1
